Descrição,Código (SKU),Unidade,Preço,Preço promocional,Estoque disponível,Custo,origem
"VINIL GOLD MAX VERDE ABACATE C/1,22 IMPRIMAX",IP77,UN,30,0,71.5,20.02,servi
"VINIL GOLD MAX VERDE AGUA C/1,22 IMPRIMAX",IP352,UN,30,0,67.0,17.75,servi
"VINIL GOLD MAX VERDE AMAZONAS C/1,22 IMPRIMAX",IP238,UN,30,0,34.0,17.76,servi
"VINIL GOLD MAX VERDE AQUA MARINE C/1,22 IMPRIMAX",IP1292,UN,0,0,50.0,19.43,servi
"VINIL GOLD MAX VERDE BANDEIRA C/1,22 IMPRIMAX",IP920,UN,30,0,39.0,18.68,servi
VINIL GOLD MAX VERDE BANDEIRA C/61 CM IMPRIMAX,IP58,UN,15,0,0.0,6.03,servi
"VINIL GOLD MAX VERDE CITRICO C/1,22 IMPRIMAX",IP430,UN,32,0,48.0,22.18,servi
"VINIL GOLD MAX VERDE MUSGO C/1,22 IMPRIMAX",IP805,UN,30,0,35.5,19,servi
"VINIL GOLD MAX VERMELHO FOGO 1,22 IMPRIMAX",IP661,UN,30,0,120.5,18.02,servi
"VINIL GOLD MAX VERMELHO TOMATE 1,22 IMPRIMAX",IP921,UN,30,0,32.5,18.02,servi
"VINIL GOLD MAX VERMELHO VIVO 1,22 IMPRIMAX",IP630,UN,30,0,164.0,17.74,servi
"VINIL GOLD MAX VINHO C/1,22 IMPRIMAX",IP59,UN,30,0,59.5,18.76,servi
"VINIL GOLD METAL ACO CORTEN FERRUGEM C/ 1,22",IP1147,UN,55,0,37.0,32.72,servi
"VINIL GOLD METALIC ARTISTICO PRATA C/1,06 IMPRIMAX",IP523,UN,45,0,22.0,27.67,servi
"VINIL GOLD METALLIC BRONZE C/1,06 IMPRIMAX",IP984,UN,42,0,0.0,26.94,servi
"VINIL GOLD METALLIC OURO C/1,22 IMPRIMAX",IP952,UN,40,0,-1.0,22.61,servi
"VINIL GOLD METALLIC PRATA C/1,06 IMPRIMAX",IP492,UN,42,0,0.0,25.9,servi
"VINIL GOLD METALLIC PRATA C/1,22 IMPRIMAX",IP765,UN,40,0,54.0,22.11,servi
"VINIL GOLD METALLIC ROSE C/ 1,22 IMPRIMAX",IP886,UN,40,0,91.5,27.37,servi
"VINIL GOLD PALHA TRANCADA BURITI C/1,22 IMPRIMAX",IP1685,UN,50,0,23.0,32.62,servi
"VINIL GOLD PASTILHA MESCLA PRETO C/1,22 IMPRIMAX",IP264,UN,48,0,0.0,27.7,servi
"VINIL GOLD PEDRAS CIMENTO QUEIMADO C/1,22 IMPRIMAX",IP1021,UN,50,0,56.7,33.46,servi
VINIL GOLD PEDRAS CIMENTO QUEIMADO C/61 IMPRIMAX,IP1214,UN,25,0,0.0,16.44,servi
"VINIL GOLD PEDRAS CIMENTO QUEIMADO GRAFITE C/1,22 IMPRIMAX",IP1148,UN,50,0,6.5,33.33,servi
"VINIL GOLD PEDRAS CUBO 3D BEGE C/1,22 IMPRIMAX",IP517,UN,50,0,20.0,31.6,servi
